idiom_id_lang;idiom_id;idiom_string;CQL;List_most_common (1 = yes, 0 = no);nr_languages_found;language;domain_id;domain_name;superdomain;subdomain;idiom_frequency;idiom_frequency_per_mill;corpus_size;idiom_syntactic_type;source_volume;description_english;comment 
a16fr;a16;le moindre mal;"[tag=""DET.*""] [lemma_lc=""moindre""] [lemma_lc=""mal""]";1;49;fr;a;ancient_sources;intertextuality;proverbial_phrases_antiquity;7615;0.67;11444973582;noun_idiom;Vol_I;"‘the somewhat less unpleasant of two poor choices; the option with the smaller disadvantage’";"""un moindre mal"" is most freuquent with 4,040, would not have been considered if only ""le"" had been taken "
a17fr;a17;les dés sont jetés / le dé en est jeté;"[tag=""DET.*""] [lemma_lc=""dé""] [lemma_lc=""en""]? [lemma_lc=""être""] [lemma_lc=""jeter""]";1;49;fr;a;ancient_sources;intertextuality;proverbial_phrases_antiquity;2070;0.18;11444973582;sentence_idiom;Vol_I;"‘an important decision about the future has been made or something important has happened, and there is no turning back; an irrevocable step has been taken’";
a20fr;a20;jeter/mettre de l’huile sur le feu;" [lemma_lc=""de""] [tag=""DET.*""] [lemma_lc=""huile""] [lemma_lc=""sur""] [tag=""DET.*""] [lemma_lc=""feu""] context [lemma=""mettre""] (-5..5,-KWIC)";1;59;fr;a;ancient_sources;intertextuality;proverbial_phrases_antiquity;1916;0.17;11444973582;verb_idiom;Vol_I;‘to make a difficult situation even worse, exaggerating a conflict, to aggravate someone’s rage’;
b03fr;b03;à la sueur de son front;"[lemma_lc=""à""] [tag=""DET.*""] [lemma_lc=""sueur""] [lemma_lc=""de""] [tag=""DET:POS"" | tag=""(NOM|NAM)""] [lemma_lc=""front""]";1;59;fr;b;bible ;intertextuality;old_testament;2813;0.25;11444973582;adverbial_idiom;Vol_I;"‘by very hard work, either physical or mental; very toilsome; with the greatest effort’";
b08fr;b08;le mouton noir de la famille;" [tag=""DET.*""] [lemma_lc=""mouton""] [lemma_lc=""noir""] [lemma_lc=""de""]? [lemma_lc=""le""]? [lemma_lc=""famille""]? Hide sub-hits ";1;49;fr;b;bible ;intertextuality;old_testament;2180;0.19;11444973582;noun_idiom;Vol_I;"‘an odd or disreputable member of a group; someone who is very different from the rest of his/her family, group or society and considered worthless by them because s/he is less successful or more contemptible than the rest’";
b20fr;b20;s’en laver les mains;"[lemma_lc=""se""] [lemma_lc=""en""] [lemma_lc=""laver""] [tag=""DET.*""] [lemma_lc=""main""]";1;54;fr;b;bible ;intertextuality;old_and_new_testament;1200;0.1;11444973582;verb_idiom;Vol_I;"to absolve oneself from responsibility; to declare that one no longer wishes to be involved in a matter and will therefore not be implicated in the outcome of events; to refuse to take any further part in an endeavor’";
b23fr;b23;prendre qqn. sous son aile;"[lemma_lc=""sous""] [tag=""DET:POS"" | tag=""(NOM|NAM)""] [lemma_lc=""aile""] context [lemma=""prendre""] (-5..5,-KWIC)";1;62;fr;b;bible ;intertextuality;old_and_new_testament;9258;0.81;11444973582;verb_idiom;Vol_I;"‘to help and protect someone, especially someone who is younger or less experienced; to provide someone with friendly encouragement or protection’";
b29fr;b29;séparer le bon grain de l’ivraie;"[tag=""DET.*""] [lemma_lc=""bon""] [lemma_lc=""grain""] [lemma_lc=""de""] [tag=""DET.*""] [lemma_lc=""ivraie""] context [lemma=""séparer""] (-5..5,-KWIC)";1;52;fr;b;bible ;intertextuality;new_testament;1210;0.11;11444973582;verb_idiom;Vol_I;‘to decide which things or people in a group are good or necessary, and which are not, to distinguish valuable from worthless’;
b34fr;b34;bâtir sur le/sur du sable;"[lemma_lc=""sur""] [lemma_lc=""du|le""]? [lemma_lc=""sable""] context [lemma=""bâtir""] (-5..5,-KWIC)";1;52;fr;b;bible ;intertextuality;new_testament;620;0.05;11444973582;verb_idiom;Vol_I;‘to have no secure foundation and therefore to be likely to collapse or come to an end’;
c14fr;c14;s’arracher les cheveux;"[lemma_lc=""arracher""] [tag=""DET.*""] [lc=""cheveux""] context [lemma=""se""] (-5..5,-KWIC)";1;62;fr;c;ancient_sources;intertextuality;ancient_textual_sources_and_other_sources;4621;0.4;11444973582;verb_idiom;Vol_I;"‘to be unbearably frustrated or worried about something; to show extreme desperation, to be in deep despair; to be horrified’";
