	Unnamed..0	sentence	Rating	Figurative	Comments
1	m04en_4014	Mrs Horne''s Migrations, MS., 30.  brought into the valley in the spring, they were eagerly bought at any price .	3		which part is the idiom?
2	f08en_43	276 The Rat and the mayor were forced to flee into neighboring Burtscheid; the duke of Jiilich–always eager to fish in troubled waters in order to extend his rights in the city–marched his troops into Aachen under the pretext of reestablishing law and	2	n?	is "fish in troubled waters" the idiom? not heard it before
3	s04en_1405	The youth had lost his head , and had fired at the man in grey, who believing himself attacked by French terrorists, had fired back, killing both the	2	n	
4	a20en_2321	Add jet fuel to the fire he should come out wearing #7 after half time  re: If you''re LSU and you win the toss vs Bama, you gotta receive...  Posted by	3	n	
5	i05en_629	I can count on one hand the items that I have bought new for myself at a regular store, and probably on two hands the items that I have purchased	3	n	
6	k04en_4366	He added that "the devil was in the detail " saying that some of the measures "were gimmicks" with the announced reduction in utility tariffs, costing around €25	2	n	
7	k10en_63	Learn Russian cases through One Film  In the above table I put the film Irony of Fate first.	3		which part is the idiom?
8	n18en_340	The anti-American movement spread, associations sprang up like mushrooms to deal with the matter."	3	n	not heard this idiom before
9	c25en_4544	Until day and night no longer exist.	3	n	not heard this idiom before
10	n01en_62	what it is all aboutAfter midnight  We are being sacrificed by our own suspicionsWe are being sodomized by repetitions  Between two fires we collect our thoughtsAre we all just liars?	2	n	which part is the idiom?
11	m03en_3742	But this CEBR research shows the other side of the coin .	3	n	
12	e05en_94	In October 1970 a crestfallen 18 year old was wondering if he had bought a pig in a poke .	3	n	
13	m20en_1498	Much of the history is scattered in little pieces throughout the book and we can easily lose the thread .	2	n	
14	o01en_116	exclaimed Durtal as he looked at his watch; "instead of musing and grumbling like this, suppose I go for a walk just to kill time ."	2	n	
15	r17en_34	It was balm to Jamie''s soul , but long before they turned into the lane of the Stone farm and its blacksmith shop he was sound asleep--jostling	4	n	
16	i18en_922	as their negative energy can be very draining and I do make a concerted effort to surround myself with people who are on the same wavelength as me rather than ''mood hoovers'' (thanks to my friend Sharon for that term) ie people whose negativity seems to suck the	2	n	
