"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","8.6064e-08","2.47497e-07","0.347736806395","0.73"
"2","languagefr","3.11229e-07","1.17797e-07","2.642084950985","0.009"
"3","languagege","1.46501e-07","1.17797e-07","1.243675829094","0.22"
"4","domain_idb","-1.856e-08","2.91478e-07","-0.063676995239","0.95"
"5","domain_idc","9.65809e-07","3.14832e-07","3.067698359311","0.002"
"6","domain_ide","-7.4411e-08","2.91478e-07","-0.255288808507","0.8"
"7","domain_idf","-1.36787e-07","2.91478e-07","-0.469289241418","0.64"
"8","domain_idi","2.40677e-07","2.91478e-07","0.825713419377","0.41"
"9","domain_idk","-6.1807e-08","2.91478e-07","-0.212048138873","0.83"
"10","domain_idm","5.27795e-07","2.88932e-07","1.826711121516","0.069"
"11","domain_idn","-1.25704e-07","2.91478e-07","-0.431265304333","0.67"
"12","domain_ido","-1.3111e-08","2.91478e-07","-0.044981505273","0.96"
"13","domain_idp","6.8314e-07","2.91478e-07","2.343713839903","0.02"
"14","domain_idr","8.8628e-08","2.91478e-07","0.304066022572","0.76"
"15","domain_ids","1.50173e-07","2.91478e-07","0.515211052078","0.61"
