"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","4.02025e-07","3.85556e-07","1.042714539399","0.3"
"2","idiom_onlya17","-2.85522e-07","5.45259e-07","-0.523645188566","0.6"
"3","idiom_onlya20","-2.04632e-07","5.45259e-07","-0.375292685671","0.71"
"4","idiom_onlyb03","-2.69805e-07","5.45259e-07","-0.494820465963","0.62"
"5","idiom_onlyb08","-1.21463e-07","5.45259e-07","-0.222762562287","0.82"
"6","idiom_onlyb20","-2.79238e-07","5.45259e-07","-0.512120396359","0.61"
"7","idiom_onlyb23","2.0119e-08","5.45259e-07","0.036898522694","0.97"
"8","idiom_onlyb29","-1.30497e-07","5.45259e-07","-0.239330459857","0.81"
"9","idiom_onlyb34","-3.10786e-07","5.45259e-07","-0.569978333124","0.57"
"10","idiom_onlyc14","-1.2757e-07","5.45259e-07","-0.23396285479","0.82"
"11","idiom_onlyc25","1.375965e-06","4.72208e-07","2.913897383046","0.004"
"12","idiom_onlyc26","5.85338e-07","5.45259e-07","1.073504406709","0.28"
"13","idiom_onlye03","-2.66341e-07","5.45259e-07","-0.488466346416","0.63"
"14","idiom_onlye05","-2.86611e-07","5.45259e-07","-0.525641489395","0.6"
"15","idiom_onlye09","-2.88523e-07","5.45259e-07","-0.529149048729","0.6"
"16","idiom_onlye10","-2.00213e-07","5.45259e-07","-0.367189310226","0.71"
"17","idiom_onlye17","-3.79271e-07","5.45259e-07","-0.695579229862","0.49"
"18","idiom_onlye21","-5.815e-09","5.45259e-07","-0.010665059035","> 0.99"
"19","idiom_onlyf05","-1.76152e-07","5.45259e-07","-0.323061551355","0.75"
"20","idiom_onlyf08","-3.60654e-07","5.45259e-07","-0.661435996272","0.51"
"21","idiom_onlyf14","-3.50181e-07","5.45259e-07","-0.642228902716","0.52"
"22","idiom_onlyf24","-3.8577e-07","5.45259e-07","-0.707498154222","0.48"
"23","idiom_onlyf25","-2.82284e-07","5.45259e-07","-0.51770613672","0.61"
"24","idiom_onlyf27","-2.45991e-07","5.45259e-07","-0.451145913514","0.65"
"25","idiom_onlyi01","2.82342e-07","5.45259e-07","0.517812133034","0.61"
"26","idiom_onlyi03","8.5409e-08","5.45259e-07","0.156640278106","0.88"
"27","idiom_onlyi05","-2.54336e-07","5.45259e-07","-0.4664501595","0.64"
"28","idiom_onlyi09","8.619e-08","5.45259e-07","0.158071560565","0.87"
"29","idiom_onlyi16","3.63521e-07","5.45259e-07","0.666693737086","0.51"
"30","idiom_onlyi18","-9.9371e-08","5.45259e-07","-0.182245513374","0.86"
"31","idiom_onlyk04","-1.54909e-07","5.45259e-07","-0.284102019422","0.78"
"32","idiom_onlyk10","-8.0296e-08","5.45259e-07","-0.147262431623","0.88"
"33","idiom_onlyk13","-3.00128e-07","5.45259e-07","-0.550432208818","0.58"
"34","idiom_onlyk20","-3.27842e-07","5.45259e-07","-0.601260268871","0.55"
"35","idiom_onlyk21","-2.771e-07","5.45259e-07","-0.508199468823","0.61"
"36","idiom_onlyk23","-2.10875e-07","5.45259e-07","-0.386743723366","0.7"
"37","idiom_onlym03","-1.27605e-07","5.45259e-07","-0.234025925119","0.82"
"38","idiom_onlym04","2.437708e-06","5.10043e-07","4.77941776472","< 0.001"
"39","idiom_onlym08","-3.06004e-07","5.45259e-07","-0.561208841794","0.58"
"40","idiom_onlym13","-3.26578e-07","5.45259e-07","-0.598942078633","0.55"
"41","idiom_onlym20","1.26255e-07","5.45259e-07","0.231549984185","0.82"
"42","idiom_onlym21","-3.59273e-07","5.45259e-07","-0.658903942062","0.51"
"43","idiom_onlyn01","-3.16527e-07","5.45259e-07","-0.580507476581","0.56"
"44","idiom_onlyn03","-3.15488e-07","5.45259e-07","-0.578602096323","0.56"
