"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","7.69204e-07","1.8148e-07","4.238498429274","< 0.001"
"2","languagefr","3.11229e-07","1.17797e-07","2.642084950985","0.009"
"3","languagege","1.46501e-07","1.17797e-07","1.243675829094","0.22"
"4","superdomainintertextuality","-6.8314e-07","2.91478e-07","-2.343713839903","0.02"
"5","superdomainnatural_phenomena","-5.32968e-07","2.3799e-07","-2.239449411715","0.026"
"6","domain_idb","-1.856e-08","2.91478e-07","-0.063676995239","0.95"
"7","domain_idc","9.65809e-07","3.14832e-07","3.067698359311","0.002"
"8","domain_ide","-7.4411e-08","2.91478e-07","-0.255288808507","0.8"
"9","domain_idf","-1.36787e-07","2.91478e-07","-0.469289241418","0.64"
"10","domain_idi","-4.42463e-07","2.3799e-07","-1.85916322981","0.064"
"11","domain_idk","-7.44947e-07","2.3799e-07","-3.130156376005","0.002"
"12","domain_idm","-1.55346e-07","2.34865e-07","-0.661423805168","0.51"
"13","domain_idn","-2.75877e-07","2.3799e-07","-1.159192063408","0.25"
"14","domain_ido","-1.63284e-07","2.3799e-07","-0.686092961607","0.49"
"15","domain_idp",NA,NA,NA,NA
"16","domain_idr","-6.1544e-08","2.3799e-07","-0.258598792007","0.8"
"17","domain_ids",NA,NA,NA,NA
