",""Term"",""Coefficient"",""SE"",""T.statistic"",""P.value"""
"1,""(Intercept)"",""7.192e-07"",""2.82043e-07"",""2.549965443291"",""0.012"""
"2,""languagefr"",""8.7093e-08"",""3.98869e-07"",""0.218348769673"",""0.83"""
"3,""languagege"",""1.26901e-07"",""3.98869e-07"",""0.318151258772"",""0.75"""
"4,""domain_namebible "",""-5.8847e-07"",""4.15156e-07"",""-1.417467128449"",""0.16"""
"5,""domain_namefables_folk_narratives"",""-6.61389e-07"",""4.15156e-07"",""-1.593109075052"",""0.11"""
"6,""domain_nameforces_of_nature"",""-6.62622e-07"",""4.15156e-07"",""-1.596078153006"",""0.11"""
"7,""domain_namegestures_postures_facial_expressions"",""-1.89872e-07"",""4.15156e-07"",""-0.457351260678"",""0.65"""
"8,""domain_namehuman_body"",""-4.91434e-07"",""4.15156e-07"",""-1.183733850362"",""0.24"""
"9,""domain_nameintellectual_technical_achievements"",""-3.53612e-07"",""4.15156e-07"",""-0.851756736313"",""0.4"""
"10,""domain_namematerial_culture_money_living"",""-5.15172e-07"",""3.98869e-07"",""-1.291580340836"",""0.2"""
"11,""domain_namephysical_reactions_sensations"",""-4.69073e-07"",""4.15156e-07"",""-1.129870734601"",""0.26"""
"12,""domain_nameproverbs"",""-6.1968e-07"",""4.15156e-07"",""-1.492642316853"",""0.14"""
"13,""domain_namespecial_concepts_world"",""-6.36575e-07"",""4.15156e-07"",""-1.533338893205"",""0.13"""
"14,""domain_nametime_space"",""-5.4305e-07"",""4.15156e-07"",""-1.308062046567"",""0.19"""
"15,""languagefr:domain_namebible "",""3.3831e-08"",""5.8712e-07"",""0.057621844012"",""0.95"""
"16,""languagege:domain_namebible "",""2.0226e-08"",""5.8712e-07"",""0.034449617157"",""0.97"""
"17,""languagefr:domain_namefables_folk_narratives"",""-7.463e-09"",""5.8712e-07"",""-0.012711897161"",""0.99"""
"18,""languagege:domain_namefables_folk_narratives"",""-7.4404e-08"",""5.8712e-07"",""-0.126726806388"",""0.9"""
"19,""languagefr:domain_nameforces_of_nature"",""-6.347e-09"",""5.8712e-07"",""-0.010810867458"",""> 0.99"""
"20,""languagege:domain_nameforces_of_nature"",""-3.8573e-08"",""5.8712e-07"",""-0.065698107417"",""0.95"""
"21,""languagefr:domain_namegestures_postures_facial_expressions"",""8.9634e-07"",""5.8712e-07"",""1.526672922981"",""0.13"""
"22,""languagege:domain_namegestures_postures_facial_expressions"",""6.7025e-08"",""5.8712e-07"",""0.114158873177"",""0.91"""
"23,""languagefr:domain_namehuman_body"",""2.58654e-07"",""5.8712e-07"",""0.440547376084"",""0.66"""
"24,""languagege:domain_namehuman_body"",""1.0494e-08"",""5.8712e-07"",""0.017874120785"",""0.99"""
"25,""languagefr:domain_nameintellectual_technical_achievements"",""-2.054e-08"",""5.8712e-07"",""-0.034985178674"",""0.97"""
"26,""languagege:domain_nameintellectual_technical_achievements"",""1.47735e-07"",""5.8712e-07"",""0.251626939209"",""0.8"""
"27,""languagefr:domain_namematerial_culture_money_living"",""1.236494e-06"",""5.75718e-07"",""2.147741850435"",""0.033"""
"28,""languagege:domain_namematerial_culture_money_living"",""3.05037e-07"",""5.75718e-07"",""0.529837610904"",""0.6"""
"29,""languagefr:domain_namephysical_reactions_sensations"",""1.81509e-07"",""5.8712e-07"",""0.309150832788"",""0.76"""
"30,""languagege:domain_namephysical_reactions_sensations"",""-1.64077e-07"",""5.8712e-07"",""-0.279461399501"",""0.78"""
"31,""languagefr:domain_nameproverbs"",""7.554e-08"",""5.8712e-07"",""0.128661823386"",""0.9"""
"32,""languagege:domain_nameproverbs"",""-9.5406e-08"",""5.8712e-07"",""-0.162498838564"",""0.87"""
"33,""languagefr:domain_namespecial_concepts_world"",""7.4815e-08"",""5.8712e-07"",""0.127426798854"",""0.9"""
"34,""languagege:domain_namespecial_concepts_world"",""-6.184e-09"",""5.8712e-07"",""-0.010532378277"",""> 0.99"""
"35,""languagefr:domain_nametime_space"",""-6.4145e-08"",""5.8712e-07"",""-0.109253913396"",""0.91"""
"36,""languagege:domain_nametime_space"",""-1.711e-09"",""5.8712e-07"",""-0.002913520519"",""> 0.99"""
