"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","1.21146e-07","4.23973e-07","0.285740677946","0.78"
"2","languagefr","2.16731e-07","5.99588e-07","0.361466640585","0.72"
"3","languagege","1.35751e-07","5.99588e-07","0.226406907138","0.82"
"4","domain_idb","9.584e-09","5.19259e-07","0.018456202619","0.99"
"5","domain_idc","1.046594e-06","5.60864e-07","1.866040441116","0.064"
"6","domain_ide","-2.1626e-08","5.19259e-07","-0.041647632981","0.97"
"7","domain_idf","-6.3335e-08","5.19259e-07","-0.121972506736","0.9"
"8","domain_idi","2.44442e-07","5.19259e-07","0.470751236767","0.64"
"9","domain_idk","-3.8521e-08","5.19259e-07","-0.074185234635","0.94"
"10","domain_idm","8.2882e-08","5.06745e-07","0.163558152773","0.87"
"11","domain_idn","-6.4568e-08","5.19259e-07","-0.124346334817","0.9"
"12","domain_ido","5.5004e-08","5.19259e-07","0.105927417455","0.92"
"13","domain_idp","4.08182e-07","5.19259e-07","0.786085090537","0.43"
"14","domain_idr","1.28981e-07","5.19259e-07","0.248394387571","0.8"
"15","domain_ids","1.06619e-07","5.19259e-07","0.205329914793","0.84"
"16","languagefr:domain_idb","-9.5808e-08","7.34343e-07","-0.130467272296","0.9"
"17","languagege:domain_idb","1.1376e-08","7.34343e-07","0.01549114899","0.99"
"18","languagefr:domain_idc","-2.26868e-07","7.93181e-07","-0.286022487485","0.78"
"19","languagege:domain_idc","-1.5488e-08","7.93181e-07","-0.019526314643","0.98"
"20","languagefr:domain_ide","-5.4099e-08","7.34343e-07","-0.073669606311","0.94"
"21","languagege:domain_ide","-1.04256e-07","7.34343e-07","-0.141972475055","0.89"
"22","languagefr:domain_idf","-1.37102e-07","7.34343e-07","-0.186700288885","0.85"
"23","languagege:domain_idf","-8.3254e-08","7.34343e-07","-0.113372129827","0.91"
"24","languagefr:domain_idi","-1.50179e-07","7.34343e-07","-0.204508154468","0.84"
"25","languagege:domain_idi","1.38885e-07","7.34343e-07","0.189128094075","0.85"
"26","languagefr:domain_idk","-5.4824e-08","7.34343e-07","-0.074657029329","0.94"
"27","languagege:domain_idk","-1.5034e-08","7.34343e-07","-0.020472717759","0.98"
"28","languagefr:domain_idm","1.106855e-06","7.25548e-07","1.525543686576","0.13"
"29","languagege:domain_idm","2.96187e-07","7.25548e-07","0.408225033891","0.68"
"30","languagefr:domain_idn","-1.35986e-07","7.34343e-07","-0.185180383459","0.85"
"31","languagege:domain_idn","-4.7423e-08","7.34343e-07","-0.064578651982","0.95"
"32","languagefr:domain_ido","-1.93784e-07","7.34343e-07","-0.263887265007","0.79"
"33","languagege:domain_ido","-1.0561e-08","7.34343e-07","-0.014381312018","0.99"
"34","languagefr:domain_idp","7.66701e-07","7.34343e-07","1.044063931589","0.3"
"35","languagege:domain_idp","5.8175e-08","7.34343e-07","0.079220048396","0.94"
"36","languagefr:domain_idr","5.187e-08","7.34343e-07","0.070634411797","0.94"
"37","languagege:domain_idr","-1.72927e-07","7.34343e-07","-0.23548602232","0.81"
"38","languagefr:domain_ids","1.29015e-07","7.34343e-07","0.175688172277","0.86"
"39","languagege:domain_ids","1.644e-09","7.34343e-07","0.002238759071","> 0.99"
