"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","-15.9769005722","0.663664167864","-24.073773070518","< 0.001"
"2","languagefr","0.859808793482","0.938562867055","0.916090784819","0.36"
"3","languagege","0.630511657488","0.938562867055","0.671784149597","0.5"
"4","domain_idb","-0.12238347667","0.812819285918","-0.150566649672","0.88"
"5","domain_idc","1.888100035645","0.877945171117","2.150589920374","0.033"
"6","domain_ide","-0.525167937624","0.812819285918","-0.646106639843","0.52"
"7","domain_idf","-1.093840032882","0.812819285918","-1.345735825703","0.18"
"8","domain_idi","0.836399527547","0.812819285918","1.029010435698","0.3"
"9","domain_idk","-0.779979800413","0.812819285918","-0.959598048331","0.34"
"10","domain_idm","0.166985844433","0.793230400422","0.210513672124","0.83"
"11","domain_idn","-0.939224128564","0.812819285918","-1.155514079003","0.25"
"12","domain_ido","-0.108426223062","0.812819285918","-0.133395239189","0.89"
"13","domain_idp","1.176259046689","0.812819285918","1.447134765461","0.15"
"14","domain_idr","-0.269152879517","0.812819285918","-0.331134957278","0.74"
"15","domain_ids","0.635657689557","0.812819285918","0.782040609234","0.44"
"16","languagefr:domain_idb","-0.357924186992","1.149500057904","-0.311373787701","0.76"
"17","languagege:domain_idb","0.11244441831","1.149500057904","0.097820280684","0.92"
"18","languagefr:domain_idc","-0.611301830237","1.241601968013","-0.492349276166","0.62"
"19","languagege:domain_idc","-1.066235398235","1.241601968013","-0.858757819095","0.39"
"20","languagefr:domain_ide","-0.519144329227","1.149500057904","-0.451626187974","0.65"
"21","languagege:domain_ide","-0.431079114962","1.149500057904","-0.375014435186","0.71"
"22","languagefr:domain_idf","-0.131313261795","1.149500057904","-0.114235106725","0.91"
"23","languagege:domain_idf","0.098839703036","1.149500057904","0.085984948288","0.93"
"24","languagefr:domain_idi","-0.55307741376","1.149500057904","-0.481146051239","0.63"
"25","languagege:domain_idi","0.09064742902","1.149500057904","0.078858133496","0.94"
"26","languagefr:domain_idk","0.195925067168","1.149500057904","0.170443721008","0.86"
"27","languagege:domain_idk","0.624992381085","1.149500057904","0.543708003133","0.59"
"28","languagefr:domain_idm","0.118788927218","1.135733093519","0.104592291882","0.92"
"29","languagege:domain_idm","-0.49483543902","1.135733093519","-0.435696944857","0.66"
"30","languagefr:domain_idn","0.08371935048","1.149500057904","0.072831097228","0.94"
"31","languagege:domain_idn","-0.229167210713","1.149500057904","-0.199362504714","0.84"
"32","languagefr:domain_ido","-0.416228964436","1.149500057904","-0.362095644602","0.72"
"33","languagege:domain_ido","0.030214635079","1.149500057904","0.026285022668","0.98"
"34","languagefr:domain_idp","-0.071946222228","1.149500057904","-0.062589141891","0.95"
"35","languagege:domain_idp","-0.414375620881","1.149500057904","-0.360483340589","0.72"
"36","languagefr:domain_idr","0.303069968212","1.149500057904","0.263653721571","0.79"
"37","languagege:domain_idr","0.081028957759","1.149500057904","0.070490607809","0.94"
"38","languagefr:domain_ids","-0.395402233587","1.149500057904","-0.34397756735","0.73"
"39","languagege:domain_ids","-0.486787896917","1.149500057904","-0.423477922919","0.67"
