"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","1.21146e-07","2.35937e-07","0.513469319923","0.61"
"2","language_df_dropfr","2.16731e-07","3.33665e-07","0.649547104915","0.52"
"3","language_df_dropge","1.35751e-07","3.33665e-07","0.406847920534","0.68"
"4","domain_id_dropb","9.584e-09","2.88962e-07","0.033165364747","0.97"
"5","domain_id_dropc","2.99484e-07","3.73049e-07","0.802801333471","0.42"
"6","domain_id_drope","-2.1626e-08","2.88962e-07","-0.074839823076","0.94"
"7","domain_id_dropf","-6.3335e-08","2.88962e-07","-0.219181743857","0.83"
"8","domain_id_dropi","2.44442e-07","2.88962e-07","0.845928970049","0.4"
"9","domain_id_dropk","-3.8521e-08","2.88962e-07","-0.133309132778","0.89"
"10","domain_id_dropm","-1.6846e-08","2.98439e-07","-0.056448320284","0.96"
"11","domain_id_dropn","-6.4568e-08","2.88962e-07","-0.223447457437","0.82"
"12","domain_id_dropo","5.5004e-08","2.88962e-07","0.190349093427","0.85"
"13","domain_id_dropp","2.44841e-07","2.98439e-07","0.820403590869","0.41"
"14","domain_id_dropr","1.28981e-07","2.88962e-07","0.446358908979","0.66"
"15","domain_id_drops","1.06619e-07","2.88962e-07","0.368973057902","0.71"
"16","language_df_dropfr:domain_id_dropb","-9.5808e-08","4.08655e-07","-0.234446639029","0.81"
"17","language_df_dropge:domain_id_dropb","1.1376e-08","4.08655e-07","0.027837232674","0.98"
"18","language_df_dropfr:domain_id_dropc","1.98027e-07","5.27571e-07","0.37535572604","0.71"
"19","language_df_dropge:domain_id_dropc","8.0325e-08","5.27571e-07","0.152255050468","0.88"
"20","language_df_dropfr:domain_id_drope","-5.4099e-08","4.08655e-07","-0.132382560731","0.89"
"21","language_df_dropge:domain_id_drope","-1.04256e-07","4.08655e-07","-0.255121219486","0.8"
"22","language_df_dropfr:domain_id_dropf","-1.37102e-07","4.08655e-07","-0.335496055558","0.74"
"23","language_df_dropge:domain_id_dropf","-8.3254e-08","4.08655e-07","-0.20372706756","0.84"
"24","language_df_dropfr:domain_id_dropi","-1.50179e-07","4.08655e-07","-0.367496373805","0.71"
"25","language_df_dropge:domain_id_dropi","1.38885e-07","4.08655e-07","0.339858764742","0.73"
"26","language_df_dropfr:domain_id_dropk","-5.4824e-08","4.08655e-07","-0.134156936816","0.89"
"27","language_df_dropge:domain_id_dropk","-1.5034e-08","4.08655e-07","-0.036788995323","0.97"
"28","language_df_dropfr:domain_id_dropm","-3.5664e-08","4.22057e-07","-0.084501099984","0.93"
"29","language_df_dropge:domain_id_dropm","-1.9566e-08","4.22057e-07","-0.046359142993","0.96"
"30","language_df_dropfr:domain_id_dropn","-1.35986e-07","4.08655e-07","-0.332764821031","0.74"
"31","language_df_dropge:domain_id_dropn","-4.7423e-08","4.08655e-07","-0.116046328276","0.91"
"32","language_df_dropfr:domain_id_dropo","-1.93784e-07","4.08655e-07","-0.474199247631","0.64"
"33","language_df_dropge:domain_id_dropo","-1.0561e-08","4.08655e-07","-0.025842881576","0.98"
"34","language_df_dropfr:domain_id_dropp","8.35511e-07","4.22057e-07","1.979618734177","0.049"
"35","language_df_dropge:domain_id_dropp","-8.1881e-08","4.22057e-07","-0.194004499094","0.85"
"36","language_df_dropfr:domain_id_dropr","5.187e-08","4.08655e-07","0.126928387129","0.9"
"37","language_df_dropge:domain_id_dropr","-1.72927e-07","4.08655e-07","-0.423162878317","0.67"
"38","language_df_dropfr:domain_id_drops","1.29015e-07","4.08655e-07","0.31570753939","0.75"
"39","language_df_dropge:domain_id_drops","1.644e-09","4.08655e-07","0.004022997726","> 0.99"
