"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","2.731","0.01","266.924","< 0.001"
"2","idiom_ida17","-0.049","0.022","-2.273","0.023"
"3","idiom_ida20","-0.313","0.017","-18.658","< 0.001"
"4","idiom_idb03","0.469","0.021","22.417","< 0.001"
"5","idiom_idb08","0.297","0.015","19.635","< 0.001"
"6","idiom_idb20","-0.47","0.019","-24.327","< 0.001"
"7","idiom_idb23","0.93","0.014","65.094","< 0.001"
"8","idiom_idb29","0.631","0.016","39.548","< 0.001"
"9","idiom_idb34","0.084","0.022","3.811","< 0.001"
"10","idiom_idc14","-0.125","0.016","-7.987","< 0.001"
"11","idiom_idc25","0.936","0.013","71.539","< 0.001"
"12","idiom_idc25b","0.854","0.014","60.292","< 0.001"
"13","idiom_idc26","0.728","0.013","55.627","< 0.001"
"14","idiom_ide03","0.203","0.021","9.62","< 0.001"
"15","idiom_ide05","0.376","0.02","18.935","< 0.001"
"16","idiom_ide09","-0.039","0.02","-1.94","0.052"
"17","idiom_ide10","0.111","0.018","6.256","< 0.001"
"18","idiom_ide17","-0.171","0.039","-4.433","< 0.001"
"19","idiom_ide21","0.061","0.015","4.227","< 0.001"
"20","idiom_idf05","0.316","0.017","18.704","< 0.001"
"21","idiom_idf08","0.217","0.031","7.013","< 0.001"
"22","idiom_idf14","0.298","0.028","10.517","< 0.001"
"23","idiom_idf24","0.49","0.049","10.093","< 0.001"
"24","idiom_idf25","0.256","0.021","12.038","< 0.001"
"25","idiom_idf27","-0.273","0.018","-14.887","< 0.001"
"26","idiom_idi01","0.31","0.013","23.29","< 0.001"
"27","idiom_idi03","0.283","0.013","20.993","< 0.001"
"28","idiom_idi05","0.362","0.018","19.635","< 0.001"
"29","idiom_idi09","0.656","0.014","47.369","< 0.001"
"30","idiom_idi16","0.082","0.013","6.063","< 0.001"
"31","idiom_idi18","0.591","0.016","37.647","< 0.001"
"32","idiom_idk04","0.343","0.015","22.519","< 0.001"
"33","idiom_idk10","-0.186","0.016","-11.614","< 0.001"
"34","idiom_idk13","-0.083","0.021","-3.95","< 0.001"
"35","idiom_idk20","0.972","0.025","39.281","< 0.001"
"36","idiom_idk21","-0.113","0.021","-5.412","< 0.001"
"37","idiom_idk23","-0.118","0.018","-6.522","< 0.001"
"38","idiom_idm03","0.121","0.015","7.805","< 0.001"
"39","idiom_idm04","0.196","0.013","14.878","< 0.001"
"40","idiom_idm04b","0.105","0.017","6","< 0.001"
"41","idiom_idm08","0.838","0.021","40.5","< 0.001"
"42","idiom_idm13","0.127","0.025","5.159","< 0.001"
"43","idiom_idm20","0.028","0.014","1.974","0.048"
"44","idiom_idm21","-0.235","0.031","-7.513","< 0.001"
"45","idiom_idn01","-0.04","0.026","-1.537","0.12"
"46","idiom_idn03","0.266","0.023","11.493","< 0.001"
"47","idiom_idn08","0.004","0.03","0.133","0.89"
"48","idiom_idn11","0.6","0.017","34.626","< 0.001"
"49","idiom_idn18","0.448","0.018","25.021","< 0.001"
"50","idiom_idn26","-0.224","0.022","-10.379","< 0.001"
"51","idiom_ido01","0.385","0.016","24.593","< 0.001"
"52","idiom_ido04","0.309","0.017","18.476","< 0.001"
"53","idiom_ido11","0.208","0.016","12.991","< 0.001"
"54","idiom_ido12","-0.012","0.024","-0.526","0.6"
"55","idiom_ido13","0.69","0.014","48.488","< 0.001"
"56","idiom_ido20","-0.38","0.027","-13.868","< 0.001"
"57","idiom_idp01","0.808","0.015","52.227","< 0.001"
"58","idiom_idp02","0.601","0.013","45.198","< 0.001"
"59","idiom_idp05","-0.353","0.013","-26.971","< 0.001"
"60","idiom_idp09","0.118","0.013","9.037","< 0.001"
"61","idiom_idp10","0.984","0.014","70.918","< 0.001"
"62","idiom_idp17","0.045","0.017","2.662","0.008"
"63","idiom_idr01","-0.15","0.015","-9.843","< 0.001"
"64","idiom_idr03","0.681","0.014","50.286","< 0.001"
"65","idiom_idr08","0.719","0.021","34.639","< 0.001"
"66","idiom_idr09","-0.226","0.028","-8.037","< 0.001"
"67","idiom_idr17","1.339","0.017","79.694","< 0.001"
"68","idiom_idr18","0.069","0.014","4.87","< 0.001"
"69","idiom_ids03","1.019","0.016","62.608","< 0.001"
"70","idiom_ids04","-0.052","0.014","-3.604","< 0.001"
"71","idiom_ids06","0.103","0.015","6.92","< 0.001"
"72","idiom_ids07","0.166","0.016","10.132","< 0.001"
"73","idiom_ids10","-0.464","0.016","-29.395","< 0.001"
"74","idiom_ids12","0.376","0.013","28.413","< 0.001"
