"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","2.551","0.008","317.928","< 0.001"
"2","languagefr","-0.027","0.004","-7.268","< 0.001"
"3","languagege","0.194","0.004","54.377","< 0.001"
"4","domain_idb","0.564","0.009","59.473","< 0.001"
"5","domain_idc","0.832","0.009","92.27","< 0.001"
"6","domain_ide","0.24","0.01","23.805","< 0.001"
"7","domain_idf","0.247","0.011","22.047","< 0.001"
"8","domain_idi","0.463","0.009","53.133","< 0.001"
"9","domain_idk","0.185","0.01","18.703","< 0.001"
"10","domain_idm","0.294","0.009","32.134","< 0.001"
"11","domain_idn","0.379","0.011","34.794","< 0.001"
"12","domain_ido","0.48","0.01","50.374","< 0.001"
"13","domain_idp","0.445","0.009","51.552","< 0.001"
"14","domain_idr","0.557","0.009","60.602","< 0.001"
"15","domain_ids","0.316","0.009","35.407","< 0.001"
