"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","3.252","0.007","467.463","< 0.001"
"2","languagefr","-0.149","0.01","-15.281","< 0.001"
"3","languagege","0.02","0.01","1.965","0.049"
"4","domain_namebible","-0.121","0.012","-9.747","< 0.001"
"5","domain_namefables_folk_narratives","-0.421","0.017","-24.934","< 0.001"
"6","domain_nameforces_of_nature","-0.456","0.017","-26.742","< 0.001"
"7","domain_namegestures_postures_facial_expressions","-0.226","0.01","-23.327","< 0.001"
"8","domain_namehuman_body","-0.328","0.01","-31.528","< 0.001"
"9","domain_nameintellectual_technical_achievements","-0.148","0.01","-15.02","< 0.001"
"10","domain_namematerial_culture_money_living","-0.451","0.011","-42.148","< 0.001"
"11","domain_namephysical_reactions_sensations","-0.391","0.011","-34.079","< 0.001"
"12","domain_nameproverbs","-0.479","0.014","-35.104","< 0.001"
"13","domain_namespecial_concepts_world","-0.434","0.015","-29.674","< 0.001"
"14","domain_nametime_space","-0.285","0.011","-25.355","< 0.001"
"15","languagefr:domain_namebible","0.275","0.018","15.304","< 0.001"
"16","languagege:domain_namebible","0.05","0.017","3.029","0.002"
"17","languagefr:domain_namefables_folk_narratives","0.087","0.024","3.671","< 0.001"
"18","languagege:domain_namefables_folk_narratives","0.12","0.022","5.385","< 0.001"
"19","languagefr:domain_nameforces_of_nature","0.21","0.024","8.873","< 0.001"
"20","languagege:domain_nameforces_of_nature","0.399","0.022","18.515","< 0.001"
"21","languagefr:domain_namegestures_postures_facial_expressions","0.024","0.014","1.727","0.084"
"22","languagege:domain_namegestures_postures_facial_expressions","0.171","0.014","12.458","< 0.001"
"23","languagefr:domain_namehuman_body","0.118","0.015","8.015","< 0.001"
"24","languagege:domain_namehuman_body","0.005","0.015","0.328","0.74"
"25","languagefr:domain_nameintellectual_technical_achievements","-0.106","0.015","-7.244","< 0.001"
"26","languagege:domain_nameintellectual_technical_achievements","0.085","0.014","6.184","< 0.001"
"27","languagefr:domain_namematerial_culture_money_living","0.334","0.015","21.678","< 0.001"
"28","languagege:domain_namematerial_culture_money_living","0.093","0.016","5.944","< 0.001"
"29","languagefr:domain_namephysical_reactions_sensations","0.434","0.016","27.768","< 0.001"
"30","languagege:domain_namephysical_reactions_sensations","0.587","0.016","35.939","< 0.001"
"31","languagefr:domain_nameproverbs","0.094","0.019","5.006","< 0.001"
"32","languagege:domain_nameproverbs","0.262","0.019","13.583","< 0.001"
"33","languagefr:domain_namespecial_concepts_world","-0.042","0.02","-2.155","0.031"
"34","languagege:domain_namespecial_concepts_world","0.106","0.019","5.632","< 0.001"
"35","languagefr:domain_nametime_space","0.175","0.018","9.671","< 0.001"
"36","languagege:domain_nametime_space","0.31","0.016","19.234","< 0.001"
