"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","2.442","0.025","98.101","< 0.001"
"2","languagefr","0.547","0.03","18.463","< 0.001"
"3","languagege","0.163","0.029","5.56","< 0.001"
"4","idiom_ida17","-0.051","0.043","-1.176","0.24"
"5","idiom_ida20","0.155","0.033","4.729","< 0.001"
"6","idiom_idb03","0.737","0.054","13.647","< 0.001"
"7","idiom_idb08","0.692","0.033","20.822","< 0.001"
"8","idiom_idb20","-0.24","0.033","-7.335","< 0.001"
"9","idiom_idb23","1.291","0.03","43.5","< 0.001"
"10","idiom_idb29","0.793","0.039","20.115","< 0.001"
"11","idiom_idb34","0.139","0.045","3.098","0.002"
"12","idiom_idc14","0.373","0.032","11.63","< 0.001"
"13","idiom_idc25","1.215","0.029","42.521","< 0.001"
"14","idiom_idc25b","1.215","0.029","42.521","< 0.001"
"15","idiom_idc26","0.88","0.029","30.816","< 0.001"
"16","idiom_ide03","0.596","0.041","14.399","< 0.001"
"17","idiom_ide05","0.031","0.083","0.377","0.71"
"18","idiom_ide09","0.087","0.036","2.403","0.016"
"19","idiom_ide10","0.367","0.035","10.628","< 0.001"
"20","idiom_ide17","0.117","0.054","2.183","0.029"
"21","idiom_ide21","0.392","0.031","12.818","< 0.001"
"22","idiom_idf05","0.752","0.035","21.67","< 0.001"
"23","idiom_idf08","0.299","0.102","2.935","0.003"
"24","idiom_idf14","0.521","0.05","10.411","< 0.001"
"25","idiom_idf24","0.646","0.073","8.89","< 0.001"
"26","idiom_idf25","0.436","0.047","9.211","< 0.001"
"27","idiom_idf27","-0.161","0.037","-4.407","< 0.001"
"28","idiom_idi01","0.903","0.029","31.61","< 0.001"
"29","idiom_idi03","0.456","0.029","15.893","< 0.001"
"30","idiom_idi05","0.658","0.04","16.611","< 0.001"
"31","idiom_idi09","0.947","0.029","33.162","< 0.001"
"32","idiom_idi16","0.31","0.029","10.861","< 0.001"
"33","idiom_idi18","0.776","0.039","19.981","< 0.001"
"34","idiom_idk04","0.542","0.03","18.164","< 0.001"
"35","idiom_idk10","0.369","0.067","5.53","< 0.001"
"36","idiom_idk13","0.097","0.05","1.953","0.051"
"37","idiom_idk20","1.088","0.064","16.891","< 0.001"
"38","idiom_idk21","-0.101","0.043","-2.328","0.02"
"39","idiom_idk23","0.084","0.041","2.071","0.038"
"40","idiom_idm03","0.218","0.03","7.144","< 0.001"
"41","idiom_idm04","0.272","0.029","9.338","< 0.001"
"42","idiom_idm04b","0.394","0.029","13.785","< 0.001"
"43","idiom_idm08","1.255","0.04","31.357","< 0.001"
"44","idiom_idm13","0.416","0.039","10.746","< 0.001"
"45","idiom_idm20","0.255","0.04","6.33","< 0.001"
"46","idiom_idm21","-0.073","0.052","-1.406","0.16"
"47","idiom_idn01","0.1","0.057","1.744","0.081"
"48","idiom_idn03","0.5","0.037","13.571","< 0.001"
"49","idiom_idn08","0.055","0.075","0.738","0.46"
"50","idiom_idn11","0.765","0.039","19.548","< 0.001"
"51","idiom_idn18","0.534","0.058","9.159","< 0.001"
"52","idiom_idn26","-0.162","0.039","-4.106","< 0.001"
"53","idiom_ido01","0.706","0.031","23.067","< 0.001"
"54","idiom_ido04","0.595","0.033","18.213","< 0.001"
"55","idiom_ido11","0.352","0.031","11.469","< 0.001"
"56","idiom_ido12","0.203","0.107","1.903","0.057"
"57","idiom_ido13","0.612","0.029","21.18","< 0.001"
"58","idiom_ido20","-0.312","0.046","-6.773","< 0.001"
"59","idiom_idp01","0.711","0.037","19.172","< 0.001"
