"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","1.148","0.013","86.815","< 0.001"
"2","languagefr","0.235","0.016","14.924","< 0.001"
"3","languagege","0.09","0.016","5.756","< 0.001"
"4","idiom_ida17","0.387","0.023","16.739","< 0.001"
"5","idiom_ida20","0.291","0.017","16.667","< 0.001"
"6","idiom_idb03","0.483","0.029","16.839","< 0.001"
"7","idiom_idb08","0.537","0.018","30.44","< 0.001"
"8","idiom_idb20","0.137","0.017","7.883","< 0.001"
"9","idiom_idb23","0.904","0.016","57.358","< 0.001"
"10","idiom_idb29","0.579","0.021","27.67","< 0.001"
"11","idiom_idb34","0.351","0.024","14.675","< 0.001"
"12","idiom_idc14","0.388","0.017","22.738","< 0.001"
"13","idiom_idc25","0.884","0.015","58.229","< 0.001"
"14","idiom_idc25b","0.884","0.015","58.229","< 0.001"
"15","idiom_idc26","0.786","0.015","51.797","< 0.001"
"16","idiom_ide03","0.444","0.022","20.158","< 0.001"
"17","idiom_ide05","0.18","0.044","4.107","< 0.001"
"18","idiom_ide09","0.183","0.019","9.47","< 0.001"
"19","idiom_ide10","0.149","0.018","8.13","< 0.001"
"20","idiom_ide17","0.4","0.028","14.033","< 0.001"
"21","idiom_ide21","0.423","0.016","26.035","< 0.001"
"22","idiom_idf05","0.571","0.018","30.992","< 0.001"
"23","idiom_idf08","0.106","0.054","1.953","0.051"
"24","idiom_idf14","0.432","0.027","16.232","< 0.001"
"25","idiom_idf24","0.523","0.039","13.548","< 0.001"
"26","idiom_idf25","0.452","0.025","17.95","< 0.001"
"27","idiom_idf27","-0.011","0.019","-0.579","0.56"
"28","idiom_idi01","0.785","0.015","51.705","< 0.001"
"29","idiom_idi03","0.52","0.015","34.112","< 0.001"
"30","idiom_idi05","0.707","0.021","33.58","< 0.001"
"31","idiom_idi09","0.885","0.015","58.347","< 0.001"
"32","idiom_idi16","0.739","0.015","48.679","< 0.001"
"33","idiom_idi18","0.87","0.021","42.16","< 0.001"
"34","idiom_idk04","0.514","0.016","32.408","< 0.001"
"35","idiom_idk10","0.218","0.035","6.167","< 0.001"
"36","idiom_idk13","0.29","0.027","10.92","< 0.001"
"37","idiom_idk20","0.698","0.034","20.397","< 0.001"
"38","idiom_idk21","0.037","0.023","1.619","0.11"
"39","idiom_idk23","0.135","0.022","6.272","< 0.001"
"40","idiom_idm03","0.49","0.016","30.242","< 0.001"
"41","idiom_idm04","0.487","0.015","31.474","< 0.001"
"42","idiom_idm04b","0.363","0.015","23.908","< 0.001"
"43","idiom_idm08","0.922","0.021","43.348","< 0.001"
"44","idiom_idm13","0.461","0.021","22.43","< 0.001"
"45","idiom_idm20","0.294","0.021","13.735","< 0.001"
"46","idiom_idm21","0.234","0.028","8.424","< 0.001"
"47","idiom_idn01","0.298","0.03","9.757","< 0.001"
"48","idiom_idn03","0.414","0.02","21.162","< 0.001"
"49","idiom_idn08","0.469","0.04","11.776","< 0.001"
"50","idiom_idn11","0.727","0.021","34.964","< 0.001"
"51","idiom_idn18","0.63","0.031","20.346","< 0.001"
"52","idiom_idn26","0.098","0.021","4.673","< 0.001"
"53","idiom_ido01","0.633","0.016","38.898","< 0.001"
"54","idiom_ido04","0.696","0.017","40.098","< 0.001"
"55","idiom_ido11","0.453","0.016","27.817","< 0.001"
"56","idiom_ido12","0.437","0.057","7.716","< 0.001"
"57","idiom_ido13","0.558","0.015","36.338","< 0.001"
"58","idiom_ido20","0.218","0.024","8.897","< 0.001"
"59","idiom_idp01","0.775","0.02","39.327","< 0.001"
"60","idiom_idp02","0.96","0.015","63.283","< 0.001"
"61","idiom_idp05","0.234","0.015","15.427","< 0.001"
"62","idiom_idp09","0.366","0.015","24.119","< 0.001"
"63","idiom_idp10","1.194","0.015","78.692","< 0.001"
"64","idiom_idp17","0.281","0.018","15.829","< 0.001"
"65","idiom_idr01","0.336","0.019","17.788","< 0.001"
"66","idiom_idr03","0.739","0.015","48.68","< 0.001"
"67","idiom_idr08","0.889","0.034","26.156","< 0.001"
"68","idiom_idr09","0.097","0.022","4.338","< 0.001"
"69","idiom_idr17","1.169","0.057","20.489","< 0.001"
"70","idiom_idr18","0.713","0.015","46.959","< 0.001"
"71","idiom_ids03","1.01","0.016","62.928","< 0.001"
"72","idiom_ids04","0.135","0.016","8.351","< 0.001"
"73","idiom_ids06","0.208","0.016","12.893","< 0.001"
"74","idiom_ids07","0.328","0.019","17.52","< 0.001"
"75","idiom_ids10","0.184","0.017","10.62","< 0.001"
"76","idiom_ids12","0.748","0.016","48.015","< 0.001"
"77","languagefr:idiom_ida17","-0.182","0.03","-6.158","< 0.001"
"78","languagege:idiom_ida17","0.435","0.03","14.493","< 0.001"
"79","languagefr:idiom_ida20","-0.27","0.026","-10.468","< 0.001"
"80","languagege:idiom_ida20","-0.263","0.022","-12.023","< 0.001"
"81","languagefr:idiom_idb03","-0.156","0.033","-4.734","< 0.001"
"82","languagege:idiom_idb03","-0.08","0.034","-2.374","0.018"
"83","languagefr:idiom_idb08","-0.479","0.025","-18.948","< 0.001"
"84","languagege:idiom_idb08","-0.222","0.021","-10.655","< 0.001"
"85","languagefr:idiom_idb20","-0.253","0.029","-8.728","< 0.001"
"86","languagege:idiom_idb20","-0.232","0.026","-9.006","< 0.001"
"87","languagefr:idiom_idb23","-0.239","0.02","-12.244","< 0.001"
"88","languagege:idiom_idb23","-0.323","0.022","-14.7","< 0.001"
"89","languagefr:idiom_idb29","0.017","0.031","0.548","0.58"
"90","languagege:idiom_idb29","-0.122","0.024","-5.134","< 0.001"
"91","languagefr:idiom_idb34","-0.282","0.039","-7.188","< 0.001"
"92","languagege:idiom_idb34","0.087","0.028","3.061","0.002"
"93","languagefr:idiom_idc14","-0.322","0.022","-14.646","< 0.001"
"94","languagege:idiom_idc14","-0.26","0.022","-11.918","< 0.001"
"95","languagefr:idiom_idc25","-0.285","0.019","-15.035","< 0.001"
"96","languagege:idiom_idc25","-0.204","0.019","-10.837","< 0.001"
"97","languagefr:idiom_idc25b","-0.333","0.019","-17.511","< 0.001"
"98","languagege:idiom_idc25b","-0.162","0.027","-5.95","< 0.001"
"99","languagefr:idiom_idc26","-0.303","0.019","-16.019","< 0.001"
"100","languagege:idiom_idc26","0.074","0.019","3.936","< 0.001"
"101","languagefr:idiom_ide03","-0.108","0.027","-4.031","< 0.001"
"102","languagege:idiom_ide03","0.017","0.039","0.424","0.67"
"103","languagefr:idiom_ide05","-0.305","0.105","-2.916","0.004"
"104","languagege:idiom_ide05","0.202","0.046","4.436","< 0.001"
"105","languagefr:idiom_ide09","-0.236","0.03","-7.928","< 0.001"
