"idiom_id_only","M","SD"
"r17",4.07,1.34
"s03",3.77,1.28
"b23",3.73,1.12
"m08",3.7,1.47
"p10",3.67,1.43
"c25",3.66,1.38
"c25b",3.66,1.38
"p02",3.6,1.41
"k20",3.53,1.59
"r08",3.48,1.28
"i09",3.39,1.25
"i01",3.35,1.32
"c26",3.32,1.56
"r03",3.25,1.54
"b29",3.24,1.28
"i18",3.22,1.23
"n11",3.21,1.31
"f05",3.19,1.49
"b03",3.18,1.61
"s12",3.16,1.13
"o01",3.15,1.41
"p01",3.15,1.57
"b08",3.13,1.36
"i05",3.1,1.3
"f24",3.09,1.43
"o13",3.05,1.42
"e03",3.04,1.43
"o04",3.04,1.56
"k04",2.98,1.21
"n18",2.98,1.48
"f14",2.96,1.2
"n03",2.94,1.34
"i03",2.9,1.29
"f25",2.88,1.35
"m13",2.86,1.34
"m04b",2.84,1.52
"e21",2.83,1.49
"c14",2.82,1.43
"e10",2.81,1.57
"k10",2.81,1.49
"o11",2.79,1.43
"s07",2.78,1.52
"i16",2.75,1.43
"f08",2.74,1.42
"p09",2.73,1.52
"m04",2.71,1.56
"m20",2.7,1.23
"s06",2.69,1.29
"r01",2.68,1.36
"m03",2.66,1.21
"o12",2.64,1.73
"p17",2.62,1.43
"a20",2.6,1.42
"s04",2.6,1.48
"b34",2.58,1.41
"r18",2.57,1.19
"e17",2.56,1.33
"k13",2.54,1.66
"n01",2.54,1.36
"e09",2.53,1.39
"k23",2.53,1.51
"n08",2.5,1.44
"e05",2.47,1.42
"a16",2.44,1.27
"a17",2.39,1.4
"m21",2.37,1.36
"k21",2.34,1.5
"f27",2.28,1.49
"n26",2.28,1.33
"r09",2.25,1.38
"p05",2.24,1.36
"b20",2.2,1.37
"o20",2.13,1.41
"s10",2.1,1.25
