"idiom_id_only,""M"",""SD"""
r17,3.7,1.43
s03,3.59,1.37
r03,3.56,1.4
b23,3.55,1.17
k20,3.53,1.53
m08,3.53,1.53
p10,3.53,1.43
o13,3.52,1.33
c25,3.5,1.5
c25b,3.47,1.54
p01,3.46,1.52
i09,3.28,1.3
r08,3.28,1.37
n18,3.22,1.47
f24,3.21,1.26
n11,3.21,1.34
b03,3.15,1.6
b29,3.11,1.32
o01,3.1,1.4
p02,3.09,1.48
f25,3.08,1.33
c26,3.04,1.51
i05,3.01,1.22
s12,3,1.22
a16,2.99,1.22
i18,2.99,1.27
m03,2.99,1.21
n03,2.99,1.36
o04,2.97,1.59
i03,2.96,1.3
b34,2.95,1.54
m04,2.94,1.38
s07,2.92,1.41
m20,2.91,1.29
o11,2.9,1.49
p09,2.83,1.47
b08,2.82,1.42
e03,2.82,1.45
m13,2.81,1.35
e10,2.8,1.54
f14,2.79,1.35
k21,2.78,1.56
s06,2.78,1.24
i16,2.77,1.46
n08,2.77,1.67
p17,2.77,1.41
r18,2.75,1.24
n01,2.71,1.33
f08,2.7,1.52
f05,2.69,1.4
k04,2.69,1.21
o12,2.69,1.56
e21,2.67,1.36
s04,2.65,1.46
n26,2.62,1.45
k23,2.61,1.55
e05,2.55,1.49
c14,2.53,1.38
i01,2.52,1.45
f27,2.51,1.56
p05,2.51,1.37
r01,2.51,1.39
k10,2.5,1.35
e09,2.48,1.38
s10,2.43,1.4
m21,2.39,1.26
o20,2.39,1.38
k13,2.38,1.54
a20,2.36,1.34
b20,2.34,1.43
e17,2.34,1.2
r09,2.26,1.35
a17,2.22,1.38
