"idiom_id_only"	"M"	"SD"
"r17"	2.54	1.07
"r18"	2.38	1.35
"i18"	2.16	1.25
"p01"	2.14	1.48
"c26"	2.1	1.28
"s03"	2.08	1.31
"a17"	2.06	1.5
"p10"	2.06	1.39
"i16"	1.99	1.5
"c25b"	1.96	1.36
"r08"	1.94	1.29
"i09"	1.93	1.17
"c25"	1.92	1.33
"n11"	1.89	1.35
"o13"	1.89	1.27
"m08"	1.87	1.62
"o04"	1.83	1.66
"r03"	1.83	1.56
"b23"	1.82	1.14
"i01"	1.82	1.58
"s12"	1.81	1.27
"p02"	1.8	1.56
"o11"	1.78	1.53
"i03"	1.77	1.36
"i05"	1.76	1.41
"m03"	1.75	1.29
"k20"	1.74	1.48
"n01"	1.73	1.5
"f25"	1.72	1.44
"b29"	1.7	1.26
"e03"	1.7	1.46
"f05"	1.69	1.38
"b34"	1.68	1.56
"p09"	1.67	1.5
"k13"	1.66	1.65
"p17"	1.65	1.45
"b03"	1.64	1.59
"e21"	1.63	1.57
"e05"	1.62	1.51
"n03"	1.62	1.37
"f24"	1.6	1.18
"m13"	1.6	1.51
"m04"	1.59	1.46
"n08"	1.59	1.62
"n18"	1.59	1.59
"f14"	1.58	1.35
"o01"	1.57	1.47
"b08"	1.55	1.44
"e17"	1.55	1.37
"o12"	1.52	1.64
"m20"	1.5	1.25
"f08"	1.49	1.43
"e09"	1.48	1.4
"p05"	1.44	1.57
"e10"	1.43	1.53
"r09"	1.43	1.53
"o20"	1.42	1.48
"s04"	1.4	1.47
"s06"	1.4	1.39
"k23"	1.37	1.59
"c14"	1.36	1.5
"m21"	1.34	1.41
"s07"	1.34	1.53
"s10"	1.34	1.32
"r01"	1.31	1.44
"k21"	1.29	1.61
"f27"	1.28	1.57
"a20"	1.27	1.49
"a16"	1.24	1.09
"k10"	1.19	1.49
"k04"	1.15	1.15
"b20"	1.14	1.6
"n26"	1.13	1.54
